Symbol,Sector
KAYNES,Electronics Manufacturing
KEI,Capital Goods & Cables
KFINTECH,Financial Technology
KIMS,Healthcare & Hospitals
KNRCON,Infrastructure
KOTAKBANK,Banking
KPITTECH,Information Technology
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare & Pharma
LODHA,Real Estate
LT,Infrastructure & Capital Goods
LTIM,Information Technology
LTTS,Information Technology
LUPIN,Healthcare & Pharma
M&M,Automobile
M&MFIN,Financial Services
MAHABANK,Banking
MANAPPURAM,Financial Services
MANKIND,Healthcare & Pharma
MARICO,FMCG
MARUTI,Automobile
MASTEK,Information Technology
MAXHEALTH,Healthcare & Hospitals
MAZDOCK,Defense & Shipbuilding
MCDOWELL-N,Beverages & Distilleries
MCX,Financial Exchanges
MEDANTA,Healthcare & Hospitals
METROBRAND,Footwear
MGL,Energy & Gas
MOTHERSON,Auto Ancillary
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MRF,Auto Ancillary
MRPL,Energy & Oil
MUTHOOTFIN,Financial Services
NAM-INDIA,Asset Management
NATCOPHARM,Healthcare & Pharma
NATIONALUM,Metals & Mining
NAVINFLUOR,Specialty Chemicals
NAZARA,Gaming & Tech
NESTLEIND,FMCG
NETWORK18,Media & Entertainment
NH,Healthcare & Hospitals
NHPC,Power & Utilities
NIACL,Insurance
NMDC,Metals & Mining
NTPC,Power & Utilities
NYKAA,E-Commerce & Retail
OBEROIRLTY,Real Estate
OIL,Energy & Oil
ONGC,Energy & Oil
PAGEIND,Apparel & Innerwear
PATANJALI,FMCG
PAYTM,Financial Technology
PERSISTENT,Information Technology
PETRONET,Energy & Gas
PFIZER,Healthcare & Pharma
PHOENIXLTD,Real Estate & Retail
PIDILITIND,Adhesives & Chemicals
PIIND,Agrochemicals
PNB,Banking
PNCINFRA,Infrastructure
POLICYBZR,Financial Technology
POLYCAB,Capital Goods & Cables
POONAWALLA,Financial Services
POWERGRID,Power & Utilities
PRESTIGE,Real Estate
PRINCEPIPE,Building Materials & Pipes
PSB,Banking
PVRINOX,Media & Entertainment
RADICO,Beverages & Distilleries
RAILTEL,Telecom & Rail Infra
RAMCOCEM,Cement & Building Materials
RATEGAIN,Information Technology
RATNAMANI,Metals & Mining
RBLBANK,Banking
RELAXO,Footwear
RELIANCE,Energy & Petrochemicals
RITES,Railway Infrastructure
RVNL,Railway Infrastructure
SAIL,Metals & Mining
SANOFI,Healthcare & Pharma
SANSERA,Auto Ancillary
SAREGAMA,Media & Entertainment
SBILIFE,Insurance
SBIN,Banking
SENCO,Consumer Jewelry
SHREECEM,Cement & Building Materials
SHRIRAMFIN,Financial Services
SIEMENS,Capital Goods & Engineering
SIGNATURE,Real Estate
SJVN,Power & Utilities
SOBHA,Real Estate
SONACOMS,Auto Ancillary
SONATSOFTW,Information Technology
SOUTHBANK,Banking
SRF,Specialty Chemicals
STARHEALTH,Insurance
STLTECH,Telecom Cables
SUMICHEM,Agrochemicals
SUNPHARMA,Healthcare & Pharma
SUNTECK,Real Estate
SUNTV,Media & Entertainment
SUPREMEIND,Building Materials & Plastics
SWIGGY,Consumer Internet
SYNGENE,Healthcare & Pharma
SYRMA,Electronics Manufacturing
TALBROAUTO,Auto Ancillary
TATACHEM,Chemicals
TATACOMM,Telecommunications
TATACONSUM,FMCG
TATAELXSI,Information Technology
TATAMOTORS,Automobile
TATAPOWER,Power & Utilities
TATASTEEL,Metals & Mining
TATATECH,Information Technology
TCIEXP,Logistics
TCS,Information Technology
TECHM,Information Technology
TEXRAIL,Railway Wagons
TIINDIA,Auto Ancillary
TITAGARH,Railway Wagons
TITAN,Consumer Jewelry & Watches
TMB,Banking
TORNTPHARM,Healthcare & Pharma
TORNTPOWER,Power & Utilities
TRENT,Retail & Fashion
TV18BRDCST,Media & Entertainment
TVSMOTOR,Automobile
UBL,Beverages & Distilleries
UCOBANK,Banking
ULTRACEMCO,Cement & Building Materials
UNIONBANK,Banking
UNOMINDA,Auto Ancillary
UPL,Agrochemicals
UTIAMC,Asset Management
UTKARSHBNK,Banking
VBL,FMCG & Beverages
VEDANTFASH,Apparel & Ethnic
VEDL,Metals & Mining
VINATIORGA,Specialty Chemicals
VOLTAS,Consumer Electricals
WELCORP,Metals & Mining
WELSPUNLIV,Textiles
WHIRLPOOL,Consumer Electricals
WIPRO,Information Technology
WOCKPHARMA,Healthcare & Pharma
YESBANK,Banking
ZEEL,Media & Entertainment
ZENSARTECH,Information Technology
ZENTEC,Capital Goods & Engineering
ZFCVINDIA,Automobile and Auto Components
ZOMATO,Consumer Internet
ZYDUSLIFE,Healthcare & Pharma
ZYDUSWELL,FMCG
