Rank,SYMBOL,NAME,Industry,AUG_CLOSE,LTP,DAY_CHG_PCT,CATEGORY,UNIFIED_SCORE,Commentary,CPR_Class,CPR_Width,CPR_Width_Pct,Pivot,CPR_Bottom,CPR_Top,BC,TC,Bias,Price_Position,Current_Position_LTP,Value_Ratio,VALUE_in_Cr,Value_60d_in_Cr,SEP1_VALUE_in_Cr,Overlay,Nifty500,Setup,Regime
11,GLAND,GLAND PHARMA LIMITED,Healthcare,2885.8,2864.5,-0.74,Above CPR - Volume Strength,93.39,"strong 7.5x volume surge backed by monthly bullish structure. Consolidating above monthly CPR Top (₹2,846.18). Hold/buy on pullbacks holding above Pivot (₹2,806.57).",Wide,79.23,2.7456,2806.57,2766.95,2846.18,2766.95,2846.18,Bullish,Above CPR,Above CPR,7.49,5059.07,675.46,74.51,Higher,True,No setup,Risk Off
12,POWERINDIA,HITACHI ENERGY INDIA LTD,Capital Goods,33760.0,32640.0,-3.32,Narrow CPR - Breakout,92.23,"Ultra-tight Narrow CPR (0.21%) with 1.1x average volume. Currently testing below CPR Bottom (₹33,795.00). Due to tight compression, watch for a sharp reclaim above ₹33,865.00 for a false breakdown reversal or breakdown continuation below ₹33,795.00.",Narrow,70.0,0.2073,33830.0,33795.0,33865.0,33865.0,33795.0,Bearish,Below CPR,Below CPR,1.14,8530.97,7460.87,329.63,Higher,True,No setup,Risk Off
13,FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Chemicals,4693.5,4727.1,0.72,Narrow CPR - Breakout,91.3,"Narrow/Moderate CPR (0.36%) with strong 3.5x volume surge. Trading strong above monthly CPR Top (₹4,684.95) with +0.72% gain on Day 1. Look for bullish continuation above ₹4,684.95 with target expansion.",Moderate,17.1,0.3643,4676.4,4667.85,4684.95,4667.85,4684.95,Bullish,Above CPR,Above CPR,3.55,2337.86,657.81,41.92,Higher,True,No setup,Risk Off
14,SONACOMS,SONA BLW PRECISION FRGS L,Automobile and Auto Components,813.05,809.5,-0.44,Narrow CPR - Breakout,91.16,Narrow/Moderate CPR (0.58%) with 1.3x average volume. Oscillating inside the monthly CPR band (₹806.02 - ₹810.71). Wait for a decisive breakout above ₹810.71 or breakdown below ₹806.02.,Moderate,4.68,0.576,808.37,806.02,810.71,806.02,810.71,Bullish,Above CPR,Inside CPR,1.28,3545.79,2766.26,84.41,Higher,True,No setup,Risk Off
15,TVSMOTOR,TVS MOTOR COMPANY  LTD,Automobile and Auto Components,4341.3,4203.0,-3.19,Narrow CPR - Breakout,90.73,"Ultra-tight Moderate CPR (0.28%) with 1.4x average volume. Currently testing below CPR Bottom (₹4,323.00). Due to tight compression, watch for a sharp reclaim above ₹4,335.20 for a false breakdown reversal or breakdown continuation below ₹4,323.00.",Moderate,12.2,0.281,4329.1,4323.0,4335.2,4323.0,4335.2,Bullish,Above CPR,Below CPR,1.41,8573.81,6090.06,811.44,Higher,True,No setup,Risk Off
16,CHENNPETRO,CHENNAI PETROLEUM CORP LT,Oil Gas & Consumable Fuels,1367.4,1385.5,1.32,Narrow CPR - Breakout,89.85,"Narrow/Moderate CPR (0.60%) with above-average 2.4x volume. Trading strong above monthly CPR Top (₹1,363.27) with +1.32% gain on Day 1. Look for bullish continuation above ₹1,363.27 with target expansion.",Moderate,8.27,0.6046,1359.13,1355.0,1363.27,1355.0,1363.27,Bullish,Above CPR,Above CPR,2.43,7304.69,3007.19,309.08,Higher,True,No setup,Risk Off
17,TATATECH,TATA TECHNOLOGIES LIMITED,Information Technology,831.05,815.25,-1.9,Narrow CPR - Breakout,88.83,Moderate CPR (0.93%) with strong 3.0x volume surge. Trading below monthly CPR Bottom (₹819.50) (-1.90%). Needs a clear close above Pivot (₹823.35) to reverse bearish pressure.,Wide,7.7,0.9265,823.35,819.5,827.2,819.5,827.2,Bullish,Above CPR,Below CPR,3.03,4049.8,1335.69,149.88,Higher,True,No setup,Risk Off
18,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,Financial Services,2978.1,2905.0,-2.45,Narrow CPR - Breakout,88.69,"Narrow/Moderate CPR (0.43%) with above-average 1.9x volume. Currently testing below CPR Bottom (₹2,958.75). Due to tight compression, watch for a sharp reclaim above ₹2,971.65 for a false breakdown reversal or breakdown continuation below ₹2,958.75.",Moderate,12.9,0.4332,2965.2,2958.75,2971.65,2958.75,2971.65,Bullish,Above CPR,Below CPR,1.9,8882.72,4679.04,220.06,Lower,True,No setup,Risk Off
19,LTM,LTM LIMITED,Information Technology,4540.0,4625.0,1.87,Narrow CPR - Breakout,88.08,"Moderate CPR (1.15%) with 1.3x average volume. Trading strong above monthly CPR Top (₹4,618.05) with +1.87% gain on Day 1. Look for bullish continuation above ₹4,618.05 with target expansion.",Wide,52.03,1.1461,4592.03,4566.02,4618.05,4618.05,4566.02,Bearish,Below CPR,Above CPR,1.28,4511.31,3510.86,121.93,Higher,True,No setup,Risk Off
20,MOREPENLAB,MOREPEN LAB. LTD,Unclassified,107.16,104.45,-2.53,Above CPR - Volume Strength,87.95,massive 21.7x volume explosion backed by monthly bullish structure. Consolidating above monthly CPR Top (₹99.16). Hold/buy on pullbacks holding above Pivot (₹91.15).,Wide,16.01,14.9403,91.15,83.14,99.16,83.14,99.16,Bullish,Above CPR,Above CPR,21.74,6341.86,291.72,261.44,Higher,False,No setup,Risk Off
