SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
GTLINFRA,EQ,GTL INFRA.LTD,1.32,1.38,1.32,1.35,48909167,66092544.87,20260525,1.3500000000000003,1.35,1.3500000000000003,1.3500000000000003,1.35,4.440892098500626e-16,3.2895497025930565e-14,Narrow,Bullish,Inside CPR,Cash Only,Real Estate & Infra,False,False,0.3333333333333333,3,47714777.89,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SJVN,EQ,SJVN LTD,73.98,74.75,73.76,74.27,1836904,136556015.96,20260525,74.25999999999999,74.255,74.26499999999999,74.26499999999999,74.255,0.0099999999999909,0.0134643866971736,Narrow,Bullish,Above CPR,Cash Only,Power,True,False,0.3333333333333333,3,151182298.75,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KALYANKJIL,EQ,KALYAN JEWELLERS IND LTD,358.7,360.25,355.3,357.85,3657122,1308204670.5,20260525,357.8,357.775,357.82500000000005,357.82500000000005,357.775,0.0500000000000682,0.0139723347771603,Narrow,Bullish,Above CPR,Cash Only,Consumer Durables,True,False,0.3333333333333333,3,1933599037.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ALLDIGI,EQ,ALLDIGI TECH LIMITED,828.0,837.55,818.2,828.05,3855,3193166.2,20260525,827.9333333333334,827.875,827.9916666666668,827.9916666666668,827.875,0.1166666666667879,0.01408932632894,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,3426553.2,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CASTROLIND,EQ,CASTROL INDIA LIMITED,182.5,183.33,182.08,182.75,523846,95667150.79,20260525,182.72000000000003,182.705,182.73500000000004,182.73500000000004,182.705,0.0300000000000295,0.0164158686730667,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,0.3333333333333333,3,95667150.79,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ASHAPURMIN,EQ,ASHAPURA MINECHEM LTD,680.0,686.75,667.1,677.1,599500,406186180.25,20260525,676.9833333333332,676.925,677.0416666666665,677.0416666666665,676.925,0.1166666666665605,0.0172303450991818,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,406186180.25,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WEALTH,EQ,WEALTH FRST PORT. MG. LTD,916.95,945.0,898.2,921.85,3615,3315693.6,20260525,921.6833333333334,921.6,921.7666666666668,921.7666666666668,921.6,0.1666666666667424,0.0180795863390727,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,3315693.6,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GRANULES,EQ,GRANULES INDIA LIMITED,753.25,763.3,753.05,758.4,415814,315718050.95,20260525,758.25,758.175,758.325,758.325,758.175,0.1500000000000909,0.0197784810126702,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.3333333333333333,3,381914056.6,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MANBA,EQ,MANBA FINANCE LIMITED,106.78,108.69,106.5,107.63,43128,4642317.14,20260525,107.60666666666668,107.595,107.61833333333334,107.61833333333334,107.595,0.0233333333333405,0.0216792096379638,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,3586182.29,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD,1039.5,1066.9,1031.8,1049.7,108258,113642227.0,20260525,1049.4666666666665,1049.35,1049.583333333333,1049.583333333333,1049.35,0.2333333333331211,0.0222285732431286,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,87903864.8,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CSBBANK,EQ,CSB BANK LIMITED,364.0,367.95,362.8,365.5,199531,72803799.35,20260525,365.4166666666667,365.375,365.45833333333337,365.45833333333337,365.375,0.0833333333333712,0.0227998176014695,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,101210671.0,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KFINTECH,EQ,KFIN TECHNOLOGIES LIMITED,829.0,837.2,821.0,829.4,1252239,1039017667.4,20260525,829.1999999999999,829.1,829.2999999999998,829.2999999999998,829.1,0.1999999999998181,0.0241138172172435,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,1039017667.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,483.9,484.4,474.65,479.7,54567,26159926.25,20260525,479.5833333333333,479.525,479.64166666666665,479.64166666666665,479.525,0.1166666666666742,0.0243207560280746,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,119932095.0,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BAJAJHLDNG,EQ,BAJAJ HOLDINGS & INVS LTD,10650.0,10741.0,10535.0,10642.0,33285,354367929.0,20260525,10639.333333333334,10638.0,10640.666666666668,10640.666666666668,10638.0,2.6666666666678798,0.0250579465012956,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,354367929.0,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SCHAEFFLER,EQ,SCHAEFFLER INDIA LIMITED,4100.0,4135.6,4066.6,4102.7,32247,132004035.5,20260525,4101.633333333334,4101.1,4102.166666666668,4102.166666666668,4101.1,1.0666666666675155,0.0259991387785486,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,False,0.3333333333333333,3,132004035.5,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RKSWAMY,EQ,R K SWAMY LIMITED,99.98,100.0,97.3,98.69,23673,2334448.94,20260525,98.66333333333334,98.65,98.67666666666668,98.67666666666668,98.65,0.0266666666666708,0.0270206370115217,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,3882520.85,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INOXWIND,EQ,INOX WIND LIMITED,96.0,98.37,95.63,97.04,9757031,948623025.73,20260525,97.01333333333334,97.0,97.02666666666669,97.02666666666669,97.0,0.0266666666666708,0.0274800769442197,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,495944902.46,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BEPL,EQ,BHANSALI ENG. POLYMERS LT,94.6,96.3,94.4,95.39,605607,57720584.82,20260525,95.36333333333332,95.35,95.37666666666668,95.37666666666668,95.35,0.0266666666666708,0.0279554111192691,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,23719519.09,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NDLVENTURE,EQ,NDL VENTURES LIMITED,133.45,133.45,126.1,129.83,32710,4288747.38,20260525,129.79333333333332,129.77499999999998,129.81166666666667,129.81166666666667,129.77499999999998,0.0366666666666901,0.0282420601299315,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,3010770.82,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MARICO,EQ,MARICO LIMITED,832.0,834.0,812.0,823.35,1118732,916996817.3,20260525,823.1166666666667,823.0,823.2333333333333,823.2333333333333,823.0,0.2333333333333485,0.0283395072974249,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.3333333333333333,3,916996817.3,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CORONA,EQ,CORONA REMEDIES LIMITED,1718.0,1719.9,1681.0,1701.2,40732,69454144.2,20260525,1700.7,1700.45,1700.95,1700.95,1700.45,0.5,0.0293910181048671,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,47984872.7,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KPRMILL,EQ,KPR MILL LTD.,945.7,963.0,937.05,950.45,144424,137400261.7,20260525,950.1666666666666,950.025,950.3083333333332,950.3083333333332,950.025,0.283333333333303,0.0298104406684521,Narrow,Bullish,Above CPR,Cash Only,Textiles,True,False,0.3333333333333333,3,137400261.7,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HDFCLIFE,EQ,HDFC LIFE INS CO LTD,622.5,622.9,616.5,620.0,1723876,1067654789.25,20260525,619.8000000000001,619.7,619.9000000000001,619.9000000000001,619.7,0.2000000000000454,0.0322580645161363,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,2151344583.05,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BIOCON,EQ,BIOCON LIMITED.,430.55,432.5,427.15,430.05,1976858,848858846.9,20260525,429.9,429.825,429.9750000000001,429.9750000000001,429.825,0.1500000000000909,0.0348796651552356,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.3333333333333333,3,1160626519.85,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
UBL,EQ,UNITED BREWERIES LTD,1320.0,1328.2,1317.4,1323.5,310005,410485832.7,20260525,1323.0333333333335,1322.8000000000002,1323.2666666666669,1323.2666666666669,1322.8000000000002,0.466666666666697,0.0352600428157685,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.3333333333333333,3,200794101.6,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
FMGOETZE,EQ,FEDERAL-MOGUL GOETZE (IND,453.3,472.5,453.0,463.0,46689,21557020.1,20260525,462.8333333333333,462.75,462.9166666666666,462.9166666666666,462.75,0.1666666666666287,0.0359971202303733,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,21557020.1,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AETHER,EQ,AETHER INDUSTRIES LIMITED,1070.0,1086.0,1061.8,1074.5,273224,293775319.1,20260525,1074.1,1073.9,1074.3000000000002,1074.3000000000002,1073.9,0.4000000000000909,0.0372266170311857,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,303321775.5,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SONAL,EQ,SONAL MERCANTILE LTD.,87.4,88.1,87.4,87.8,127,11150.5,20260525,87.76666666666667,87.75,87.78333333333333,87.78333333333333,87.75,0.0333333333333314,0.0379650721336349,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,1.0,2,5621.25,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHRADHA,EQ,SHRADHA REALTY LIMITED,35.2,35.2,34.0,34.62,4631,159513.63,20260525,34.60666666666666,34.6,34.61333333333332,34.61333333333332,34.6,0.0133333333333212,0.0385133834006967,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,159513.63,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDBANK,EQ,INDBANK MERCH BANK,34.11,34.2,33.52,33.88,34801,1180178.58,20260525,33.86666666666667,33.86,33.873333333333335,33.873333333333335,33.86,0.0133333333333354,0.0393545848091364,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,713600.44,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
REDINGTON,EQ,REDINGTON LIMITED,225.78,226.15,221.86,224.14,2798806,626597645.07,20260525,224.05,224.005,224.095,224.095,224.005,0.0899999999999749,0.0401534755063687,Narrow,Bullish,Above CPR,Cash Only,Services,True,False,0.3333333333333333,3,626597645.07,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LASA,EQ,LASA SUPERGENERICS LTD,7.73,8.38,7.73,8.06,55587,459540.04,20260525,8.056666666666667,8.055,8.058333333333334,8.058333333333334,8.055,0.0033333333333338,0.0413564929694026,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,105433.07,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CUMMINSIND,EQ,CUMMINS INDIA LTD,5419.0,5419.5,5337.5,5382.0,284889,1530252865.5,20260525,5379.666666666667,5378.5,5380.833333333334,5380.833333333334,5378.5,2.33333333333394,0.0433543911804894,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,1530252865.5,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NATHBIOGEN,EQ,NATH BIO-GENES (I) LTD,172.82,178.79,172.82,175.92,29603,5194643.13,20260525,175.84333333333333,175.805,175.88166666666666,175.88166666666666,175.805,0.0766666666666537,0.0435804153402988,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,True,False,0.3333333333333333,3,5194643.13,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ANUHPHR,EQ,ANUH PHARMA LIMITED,75.58,76.9,75.58,76.29,22246,1695512.16,20260525,76.25666666666667,76.24000000000001,76.27333333333334,76.27333333333334,76.24000000000001,0.0333333333333314,0.0436929261152594,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,4609416.89,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
FERMENTA,EQ,FERMENTA BIOTECH LTD.,312.0,312.0,296.3,304.35,13355,4042081.45,20260525,304.21666666666664,304.15,304.2833333333333,304.2833333333333,304.15,0.1333333333333257,0.0438092108865864,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,3264347.95,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
JAYBARMARU,EQ,JAY BHARAT MARUTI LTD,119.0,124.1,117.52,120.89,1482434,179403386.65,20260525,120.83666666666666,120.81,120.86333333333332,120.86333333333332,120.81,0.0533333333333132,0.0441172415694542,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,663886409.99,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DIACABS,EQ,DIAMOND POWER INFRA LTD,196.5,199.0,193.91,196.59,3489335,685912388.76,20260525,196.5,196.455,196.545,196.545,196.455,0.0900000000000318,0.0457805585228301,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,685912388.76,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SCODATUBES,EQ,SCODA TUBES LIMITED,136.8,140.0,136.8,138.5,240478,33326536.3,20260525,138.43333333333334,138.4,138.46666666666667,138.46666666666667,138.4,0.0666666666666628,0.0481347773766519,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,33326536.3,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ARIS,EQ,ARISINFRA SOLUTIONS LTD,121.8,127.54,119.5,123.61,4048384,497442317.42,20260525,123.55,123.52,123.58,123.58,123.52,0.0600000000000022,0.0485397621551672,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,357954392.96,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
